recordKey,jsonIndex,id,articleId,publishedAt,publishedDisplay,sourceName,sourceHost,title,storyId,storyTitle,targetKeys,label,sentiment_score,confidence,reason,model,date,month,publishedAtSort,cluster
a-1563,488,a-1563,1563,2019-07-08 21:52:50+00:00,08/07/2019 21:52 UTC,Diario do Rio,diariodorio.com,Segurança Presente chega a novas áreas a partir de agosto,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a expansão do programa Segurança Presente para novas áreas, o que sugere um esforço do governo para melhorar a segurança pública. Além disso, menciona parcerias com a iniciativa privada e a capacitação dos agentes, indicando um planejamento e investimento na eficácia do programa.",gpt-4o-mini,2019-07-08,2019-07,2019-07-08 21:52:50+00:00,11
a-1562,832,a-1562,1562,2019-07-16 18:10:15+00:00,16/07/2019 18:10 UTC,Diario do Rio,diariodorio.com,Segurança Presente será expandido para 5 bairros do Rio,1065,Operação Niterói Presente será ampliada para a Região Oceânica,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a expansão do programa Segurança Presente para mais bairros, o que sugere um aumento na segurança pública e um esforço do governo para melhorar a situação da segurança na região.",gpt-4o-mini,2019-07-16,2019-07,2019-07-16 18:10:15+00:00,1
a-1107,101,a-1107,1107,2019-07-24 07:00:00+00:00,24/07/2019 07:00 UTC,Google News,oglobo.globo.com,Segurança Presente diminui número de PMs em unidades para expandir áreas,774,Segurança Presente diminui número de PMs em unidades para expandir áreas,operacao_seguranca_presente; seguranca; seguranca_presente,negativo,-1.0,0.85,"A notícia destaca a redução do número de policiais em unidades do programa Segurança Presente, o que gera críticas de moradores e agentes, indicando insatisfação com a gestão e a eficácia do programa.",gpt-4o-mini,2019-07-24,2019-07,2019-07-24 07:00:00+00:00,11
a-1561,31,a-1561,1561,2019-07-25 20:55:25+00:00,25/07/2019 20:55 UTC,Diario do Rio,diariodorio.com,Operação Segurança Presente terá efetivo dobrado pelo Governo do Estado,778,Segurança Presente terá transição entre Secretaria de Governo e Polícia Militar,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca o aumento do efetivo da Operação Segurança Presente e investimentos significativos, além de resultados positivos em termos de prisões e atendimentos sociais, o que sugere uma percepção pública favorável ao programa.",gpt-4o-mini,2019-07-25,2019-07,2019-07-25 20:55:25+00:00,11
a-1560,857,a-1560,1560,2019-07-30 17:57:49+00:00,30/07/2019 17:57 UTC,Diario do Rio,diariodorio.com,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020,1093,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020,seguranca_presente,neutro,0.0,0.7,"A notícia apresenta informações sobre a candidatura de Pedro Fernandes e a relação com Wilson Witzel, mas não expressa uma opinião clara sobre o programa Segurança Presente ou a candidatura em si, focando mais em aspectos políticos e estratégicos.",gpt-4o-mini,2019-07-30,2019-07,2019-07-30 17:57:49+00:00,2
a-1559,774,a-1559,1559,2019-07-31 14:52:33+00:00,31/07/2019 14:52 UTC,Diario do Rio,diariodorio.com,Segurança Presente apreende mais de 50 objetos cortantes em 1 dia de operação,1012,Segurança Presente de Campos levou 38 suspeitos à delegacia na primeira semana de atuação,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A operação resultou na apreensão de uma quantidade significativa de objetos cortantes, o que indica uma ação efetiva na prevenção de crimes e na segurança pública.",gpt-4o-mini,2019-07-31,2019-07,2019-07-31 14:52:33+00:00,10
a-1558,856,a-1558,1558,2019-07-31 21:32:45+00:00,31/07/2019 21:32 UTC,Diario do Rio,diariodorio.com,"Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender",1092,"Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender",crime; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia expressa apoio às ações do governador Witzel em relação à internação de usuários de drogas e à abordagem do problema dos moradores de rua, destacando a necessidade de intervenção do Estado para proteger tanto os indivíduos afetados quanto a sociedade em geral.",gpt-4o-mini,2019-07-31,2019-07,2019-07-31 21:32:45+00:00,5
a-1557,855,a-1557,1557,2019-08-11 01:09:01+00:00,11/08/2019 01:09 UTC,Diario do Rio,diariodorio.com,Governo do Estado quer o controle da ordem urbana em praias e praças do Rio,1091,Governo do Estado quer o controle da ordem urbana em praias e praças do Rio,seguranca_presente,negativo,-1.0,0.8,"A notícia retrata uma percepção crítica sobre a intervenção do governo estadual nas funções da prefeitura, além de mencionar problemas relacionados a camelôs e moradores de rua, sugerindo uma abordagem punitiva em vez de soluções sociais efetivas.",gpt-4o-mini,2019-08-11,2019-08,2019-08-11 01:09:01+00:00,5
a-1030,192,a-1030,1030,2019-08-16 07:00:00+00:00,16/08/2019 07:00 UTC,Google News,novaiguacu.rj.gov.br,Inaugurada base do Segurança Presente em Nova Iguaçu - Prefeitura de Nova Iguaçu,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.9,"A notícia destaca a inauguração do programa Segurança Presente em Nova Iguaçu, com declarações de autoridades que enfatizam a expectativa positiva em relação ao aumento da segurança e ao impacto benéfico no comércio local. Há um tom otimista sobre a eficácia do programa, com relatos de cidadãos que se sentem aliviados e esperançosos com a presença policial.",gpt-4o-mini,2019-08-16,2019-08,2019-08-16 07:00:00+00:00,1
a-1085,487,a-1085,1085,2019-09-05 07:00:00+00:00,05/09/2019 07:00 UTC,Google News,oglobo.globo.com,Laranjeiras terá Segurança Presente a partir desta sexta-feira,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",patrulhamento; programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.85,"A notícia destaca a chegada do programa Segurança Presente em Laranjeiras como uma resposta a pedidos da comunidade, com a expectativa de redução da criminalidade e apoio à população local, o que é visto de forma favorável pelos moradores e comerciantes.",gpt-4o-mini,2019-09-05,2019-09,2019-09-05 07:00:00+00:00,10
a-1556,854,a-1556,1556,2019-09-05 19:32:33+00:00,05/09/2019 19:32 UTC,Diario do Rio,diariodorio.com,Rodrigo Pimentel: Estado de Turismo para salvar o Rio,1090,Rodrigo Pimentel: Estado de Turismo para salvar o Rio,seguranca,negativo,-1.0,0.8,"A notícia retrata uma situação alarmante sobre a segurança no Rio de Janeiro, comparando-a a um cenário de guerra e destacando a morte de turistas em áreas turísticas, o que gera uma percepção negativa sobre a segurança pública e a eficácia do programa Segurança Presente.",gpt-4o-mini,2019-09-05,2019-09,2019-09-05 19:32:33+00:00,5
a-1555,852,a-1555,1555,2019-09-05 22:07:48+00:00,05/09/2019 22:07 UTC,Diario do Rio,diariodorio.com,Laranjeiras Presente começa a circular no bairro nesta sexta,1089,Laranjeiras Presente começa a circular no bairro nesta sexta,patrulhamento; programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a implementação do programa Segurança Presente no bairro de Laranjeiras, mencionando o investimento significativo e a presença de agentes de patrulhamento, o que sugere uma iniciativa positiva para a segurança local.",gpt-4o-mini,2019-09-05,2019-09,2019-09-05 22:07:48+00:00,10
a-1554,851,a-1554,1554,2019-09-12 19:55:58+00:00,12/09/2019 19:55 UTC,Diario do Rio,diariodorio.com,Abrigos da Prefeitura têm vagas para apenas 15% das pessoas em situação de rua,1088,Abrigos da Prefeitura têm vagas para apenas 15% das pessoas em situação de rua,seguranca_presente,muito negativo,-2.0,0.9,"A notícia destaca a insuficiência de vagas em abrigos para pessoas em situação de rua, o aumento da população nessa condição e a redução do orçamento destinado a políticas de assistência social, além de relatar a precariedade das condições dos abrigos existentes. Isso reflete uma percepção pública muito negativa sobre a eficácia do programa Segurança Presente e a gestão da situação de rua na cidade.",gpt-4o-mini,2019-09-12,2019-09,2019-09-12 19:55:58+00:00,5
a-1553,850,a-1553,1553,2019-09-19 17:37:48+00:00,19/09/2019 17:37 UTC,Diario do Rio,diariodorio.com,"Felipe Lucena: Põe a mão na cabecinha, Witzel",1087,"Felipe Lucena: Põe a mão na cabecinha, Witzel",seguranca,muito negativo,-2.0,0.9,"A notícia critica severamente a política de segurança do governo Witzel, destacando a repetição de erros históricos, a morte de inocentes e a deterioração da vida nas favelas, além de sugerir que as ações não resolvem o problema da violência.",gpt-4o-mini,2019-09-19,2019-09,2019-09-19 17:37:48+00:00,5
a-1552,486,a-1552,1552,2019-09-20 17:15:53+00:00,20/09/2019 17:15 UTC,Diario do Rio,diariodorio.com,Segurança Presente começa em Bangu nesta sexta-feira,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração de uma operação de segurança que visa promover um ambiente seguro e inclui ações sociais, o que é geralmente visto de forma positiva pela comunidade.",gpt-4o-mini,2019-09-20,2019-09,2019-09-20 17:15:53+00:00,1
a-1551,375,a-1551,1551,2019-10-05 17:04:34+00:00,05/10/2019 17:04 UTC,Diario do Rio,diariodorio.com,Botafogo ganha Segurança Presente,885,Largo da Lapa ganha base fixa 24h do Segurança Presente,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a expansão do programa Segurança Presente em Botafogo, mencionando a presença de agentes de segurança e a intenção de criar um cinturão de segurança na cidade, o que é geralmente visto de forma positiva pela população.",gpt-4o-mini,2019-10-05,2019-10,2019-10-05 17:04:34+00:00,1
a-1550,485,a-1550,1550,2019-10-25 20:20:59+00:00,25/10/2019 20:20 UTC,Diario do Rio,diariodorio.com,Segurança presente terá investimento de 200 milhões em 2020,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca um investimento significativo no programa Segurança Presente, o que é apresentado como uma boa notícia e um sinal de apoio governamental, além de ser visto como uma política de Estado. A percepção pública é reforçada por declarações positivas de autoridades presentes no evento.",gpt-4o-mini,2019-10-25,2019-10,2019-10-25 20:20:59+00:00,11
a-1020,189,a-1020,1020,2019-10-30 07:00:00+00:00,30/10/2019 07:00 UTC,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.9,"A notícia destaca a inauguração de uma nova base do programa Segurança Presente, com declarações de autoridades e moradores que expressam otimismo e expectativa positiva em relação à redução da criminalidade e aumento da sensação de segurança na região.",gpt-4o-mini,2019-10-30,2019-10,2019-10-30 07:00:00+00:00,1
a-1059,190,a-1059,1059,2019-10-30 07:00:00+00:00,30/10/2019 07:00 UTC,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura base em Austin - Prefeitura de Nova Iguaçu,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,seguranca; seguranca_presente,positivo,1.0,0.8,"A inauguração da base do programa Segurança Presente em Austin é um indicativo de investimento em segurança pública, o que geralmente é visto de forma positiva pela população.",gpt-4o-mini,2019-10-30,2019-10,2019-10-30 07:00:00+00:00,1
a-1549,623,a-1549,1549,2019-10-30 14:55:48+00:00,30/10/2019 14:55 UTC,Diario do Rio,diariodorio.com,Baixada Fluminense recebe segundo ponto de operação do Segurança Presente,1086,Baixada Fluminense recebe segundo ponto de operação do Segurança Presente,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a expansão do programa Segurança Presente com a inauguração de uma nova base, o que sugere um esforço para melhorar a segurança na região, além de mencionar a presença de agentes de segurança e assistentes sociais, o que é visto de forma positiva pela comunidade.",gpt-4o-mini,2019-10-30,2019-10,2019-10-30 14:55:48+00:00,1
a-1066,484,a-1066,1066,2019-11-26 08:00:00+00:00,26/11/2019 08:00 UTC,Google News,oglobo.globo.com,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração do programa Segurança Presente na Barra, com apoio de empresários e do governo, além de mencionar a expectativa positiva da comunidade em relação à segurança na região.",gpt-4o-mini,2019-11-26,2019-11,2019-11-26 08:00:00+00:00,1
a-1548,849,a-1548,1548,2019-11-29 21:40:56+00:00,29/11/2019 21:40 UTC,Diario do Rio,diariodorio.com,"Inaugurado na Barra, programa ‘Segurança Presente’ também será inserido no Recreio",1085,"Inaugurado na Barra, programa ‘Segurança Presente’ também será inserido no Recreio",programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração do programa 'Segurança Presente' como uma conquista importante para a segurança da região, com a participação da população e autoridades, além de mencionar a presença de novos policiais e a expansão do programa para outros bairros.",gpt-4o-mini,2019-11-29,2019-11,2019-11-29 21:40:56+00:00,1
a-1116,452,a-1116,1116,2019-11-29 23:01:13+00:00,29/11/2019 23:01 UTC,Google News,voltaredonda.rj.gov.br,Prefeitura acerta implementação do programa estadual operação Segurança Presente - Prefeitura de Volta Redonda,766,Prefeitura e Governo do Estado lançam programa ‘Bairro Presente’ em Volta Redonda - Prefeitura de Volta Redonda,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a implementação do programa Segurança Presente como uma ação positiva para fortalecer o combate à violência e à criminalidade em Volta Redonda, com apoio do governo estadual e a expectativa de melhorias na segurança pública.",gpt-4o-mini,2019-11-29,2019-11,2019-11-29 23:01:13+00:00,0
a-1547,309,a-1547,1547,2019-12-19 18:49:31+00:00,19/12/2019 18:49 UTC,Diario do Rio,diariodorio.com,Segurança Presente atuará na noite e na madrugada em Copacabana e no Leme,1084,Segurança Presente atuará na noite e na madrugada em Copacabana e no Leme,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a ampliação do programa Segurança Presente, com aumento do efetivo e patrulhamento em áreas turísticas, o que sugere uma preocupação com a segurança pública e pode ser visto como uma ação positiva para a proteção de cidadãos e turistas.",gpt-4o-mini,2019-12-19,2019-12,2019-12-19 18:49:31+00:00,9
a-1546,261,a-1546,1546,2019-12-20 16:23:44+00:00,20/12/2019 16:23 UTC,Diario do Rio,diariodorio.com,Witzel inaugura Segurança Presente no Grajaú e em Vila Isabel,769,Seleção Segurança Presente - uerj.br,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia relata a inauguração do programa Segurança Presente, destacando a presença de agentes de segurança em áreas específicas, o que sugere uma iniciativa positiva para a segurança pública na região.",gpt-4o-mini,2019-12-20,2019-12,2019-12-20 16:23:44+00:00,1
a-1545,374,a-1545,1545,2019-12-20 17:13:35+00:00,20/12/2019 17:13 UTC,Diario do Rio,diariodorio.com,Recreio ganha unidade da Operação Segurança Presente,885,Largo da Lapa ganha base fixa 24h do Segurança Presente,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.85,"A notícia destaca a inauguração de uma unidade do programa Segurança Presente, que é uma demanda da população local e visa melhorar a segurança na região, além de incluir ações sociais. A descrição do programa como uma ação diferenciada e a participação de agentes civis e assistentes sociais reforçam uma percepção positiva.",gpt-4o-mini,2019-12-20,2019-12,2019-12-20 17:13:35+00:00,1
a-1544,848,a-1544,1544,2019-12-20 18:27:59+00:00,20/12/2019 18:27 UTC,Diario do Rio,diariodorio.com,Witzel anuncia que UPPs serão fortalecidas a partir de 2020,1083,Witzel anuncia que UPPs serão fortalecidas a partir de 2020,operacao_seguranca_presente; seguranca; seguranca_presente,neutro,0.0,0.7,"A notícia apresenta informações sobre o fortalecimento das UPPs e a operação Segurança Presente, mas não expressa uma opinião clara sobre a eficácia ou a aceitação pública do programa.",gpt-4o-mini,2019-12-20,2019-12,2019-12-20 18:27:59+00:00,1
a-1543,188,a-1543,1543,2020-01-17 21:00:54+00:00,17/01/2020 21:00 UTC,Diario do Rio,diariodorio.com,Segurança Presente inaugura base em Copacabana,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração de uma base do programa Segurança Presente, que visa aumentar a segurança em Copacabana e Leme, com a presença de agentes e patrulhamento, o que é geralmente visto de forma positiva pela população.",gpt-4o-mini,2020-01-17,2020-01,2020-01-17 21:00:54+00:00,1
a-1542,784,a-1542,1542,2020-01-22 20:33:14+00:00,22/01/2020 20:33 UTC,Diario do Rio,diariodorio.com,Bonsucesso recebe base da Operação Segurança Presente,1017,Moradores elogiam trabalho da Operação Tijuca Presente,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.9,"A notícia destaca a inauguração de uma base do programa Segurança Presente, mencionando a alegria dos comerciantes e a expectativa de melhoria na segurança e na economia da região. Além disso, o governador e outros representantes falam sobre a redução dos índices de criminalidade e a eficácia do programa, o que contribui para uma percepção positiva.",gpt-4o-mini,2020-01-22,2020-01,2020-01-22 20:33:14+00:00,1
a-1112,483,a-1112,1112,2020-01-23 08:00:00+00:00,23/01/2020 08:00 UTC,Google News,oglobo.globo.com,Segurança Presente chega a Bonsucesso com poucos policiais,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",seguranca; seguranca_presente,negativo,-1.0,0.8,"A notícia destaca a presença insuficiente de policiais no programa Segurança Presente, com apenas seis agentes visíveis em uma área onde deveria haver um patrulhamento mais robusto. Embora haja elogios à chegada do programa, a crítica à falta de efetivo e a percepção de segurança já existente entre os comerciantes indicam uma percepção pública negativa em relação à implementação do programa.",gpt-4o-mini,2020-01-23,2020-01,2020-01-23 08:00:00+00:00,1
a-1541,325,a-1541,1541,2020-01-24 15:05:32+00:00,24/01/2020 15:05 UTC,Diario do Rio,diariodorio.com,21ª base no estado: Operação Segurança Presente chega a São Gonçalo,1000,"Com reforço de 150 policiais, Segurança Presente é ampliado em São Gonçalo",operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração de uma nova base do programa Segurança Presente e menciona a expectativa de diminuição dos índices de criminalidade, o que sugere uma percepção positiva em relação à iniciativa.",gpt-4o-mini,2020-01-24,2020-01,2020-01-24 15:05:32+00:00,1
a-1540,847,a-1540,1540,2020-01-24 15:30:24+00:00,24/01/2020 15:30 UTC,Diario do Rio,diariodorio.com,Witzel diz que chegada do metrô ou das barcas em São Gonçalo será decidida este ano,1082,Witzel diz que chegada do metrô ou das barcas em São Gonçalo será decidida este ano,operacao_seguranca_presente; seguranca; seguranca_presente,neutro,0.0,0.7,"A notícia apresenta informações sobre a promessa do governador Witzel em relação à mobilidade em São Gonçalo, mas não fornece uma avaliação clara sobre a eficácia ou a percepção pública do programa Segurança Presente.",gpt-4o-mini,2020-01-24,2020-01,2020-01-24 15:30:24+00:00,5
a-1539,212,a-1539,1539,2020-01-27 15:34:06+00:00,27/01/2020 15:34 UTC,Diario do Rio,diariodorio.com,"‘Menina dos olhos’ de Witzel, Operação Segurança Presente ganhará Fundo Estadual de Fomento",1081,"‘Menina dos olhos’ de Witzel, Operação Segurança Presente ganhará Fundo Estadual de Fomento",operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a criação de um Fundo Estadual de Fomento para o programa Segurança Presente, que visa fortalecer a segurança pública no Rio de Janeiro, com investimentos em capacitação, modernização e prevenção à violência. Além disso, menciona o apoio do parlamento estadual e a expansão do programa, o que sugere uma percepção pública favorável.",gpt-4o-mini,2020-01-27,2020-01,2020-01-27 15:34:06+00:00,11
a-1538,846,a-1538,1538,2020-01-27 16:46:54+00:00,27/01/2020 16:46 UTC,Diario do Rio,diariodorio.com,"Visando aumentar segurança no RJ, Witzel aprova criação do Programa Estadual de Videomonitoramento",1080,"Visando aumentar segurança no RJ, Witzel aprova criação do Programa Estadual de Videomonitoramento",inseguranca; operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a criação de um programa que visa aumentar a segurança no Rio de Janeiro, apresentando-o como uma medida eficiente e econômica para melhorar o monitoramento e a segurança pública, o que é percebido de forma positiva.",gpt-4o-mini,2020-01-27,2020-01,2020-01-27 16:46:54+00:00,5
a-1537,783,a-1537,1537,2020-01-30 19:01:00+00:00,30/01/2020 19:01 UTC,Diario do Rio,diariodorio.com,Madureira recebe unidade da Operação Segurança Presente,1017,Moradores elogiam trabalho da Operação Tijuca Presente,operacao_seguranca_presente; patrulhamento; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração de uma nova unidade do programa Segurança Presente, enfatizando a presença de policiais na comunidade e a intenção de combater a criminalidade, além de promover a tranquilidade e o apoio ao comércio local.",gpt-4o-mini,2020-01-30,2020-01,2020-01-30 19:01:00+00:00,1
a-1536,445,a-1536,1536,2020-02-03 23:52:16+00:00,03/02/2020 23:52 UTC,Diario do Rio,diariodorio.com,Jacarepaguá recebe base da Operação Segurança Presente a partir desta terça,830,"Piraí recebe pacote de obras com nova unidade dos Bombeiros, Segurança Presente e Data Center de IA",operacao_seguranca_presente; policiamento; seguranca; seguranca_presente,positivo,1.0,0.8,"A notícia destaca a inauguração da base do programa Segurança Presente em Jacarepaguá como uma conquista importante para a região, com apoio de moradores e autoridades, além de mencionar o reforço no policiamento e a expectativa de resultados positivos.",gpt-4o-mini,2020-02-03,2020-02,2020-02-03 23:52:16+00:00,1
