recordKey,jsonIndex,id,articleId,publishedAt,publishedDisplay,sourceName,sourceHost,title,storyId,storyTitle,targetKeys,label,sentiment_score,grau_ambiguidade,reason,evidencia_sentimento,evento,evento_chave,evento_id,tipo_evento,local,data_evento,descricao_curta,evidencia_evento,model,month
a-1563,488,a-1563,1563,2019-07-08 21:52:50+00:00,08/07/2019 21:52 UTC,Diario do Rio,diariodorio.com,Segurança Presente chega a novas áreas a partir de agosto,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia destaca a expansão do programa Segurança Presente para novas áreas, o que é uma ação positiva do governo.","As regiões do Grajaú, Catete e Largo do Machado foram incluídas no planejamento de expansão do programa Segurança Presente.","Expansão do programa Segurança Presente para Grajaú, Catete e Largo do Machado",expansao-seguranca-presente-grajau-catete-largo-do-machado-2019,expansao-seguranca-presente-grajau-catete-largo-do-machado-2019,inauguracao/expansao,Rio de Janeiro,2019-08-01,O programa Segurança Presente será expandido para novas áreas no Rio de Janeiro a partir de agosto de 2019.,O governo começa a implementar um monitoramento via satélite para fiscalizar as equipes do programa.,gpt-4o-mini,2019-07
a-1562,832,a-1562,1562,2019-07-16 18:10:15+00:00,16/07/2019 18:10 UTC,Diario do Rio,diariodorio.com,Segurança Presente será expandido para 5 bairros do Rio,1065,Operação Niterói Presente será ampliada para a Região Oceânica,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia destaca a expansão do programa Segurança Presente, o que é uma ação positiva para a segurança pública.",O programa Segurança Presente tem um novo cronograma de expansão para o estado do Rio.,Expansão do programa Segurança Presente para 5 bairros do Rio,expansao-seguranca-presente-bairros-rio-2019,expansao-seguranca-presente-bairros-rio-2019,inauguracao/expansao,Rio de Janeiro,2019-08-01,O programa Segurança Presente será expandido para 5 bairros do Rio de Janeiro a partir de agosto de 2019.,"Os municípios de Nova Iguaçu e Caxias, e os bairros de Laranjeiras, Barra da Tijuca, Botafogo, Austin, Miguel Couto, Vila Isabel e Bangu, são os próximos a receber o reforço na segurança.",gpt-4o-mini,2019-07
a-1107,101,a-1107,1107,2019-07-24 07:00:00+00:00,24/07/2019 07:00 UTC,Google News,oglobo.globo.com,Segurança Presente diminui número de PMs em unidades para expandir áreas,774,Segurança Presente diminui número de PMs em unidades para expandir áreas,operacao_seguranca_presente; seguranca; seguranca_presente,negativo,-1.0,baixo,A notícia critica a redução do efetivo policial e a forma como a expansão do programa está sendo conduzida.,A gestão estadual optou por diminuir efetivos que já existiam para dar a impressão de crescimento.,Redução do efetivo policial no programa Segurança Presente para expansão de áreas,reducao-efetivo-seguranca-presente-2019,reducao-efetivo-seguranca-presente-2019,gestao/administracao,Rio de Janeiro,2019,O programa Segurança Presente reduz o número de PMs em unidades para expandir áreas de atuação.,"O governo anunciou que irá para mais nove áreas no segundo semestre, incluindo a Baixada Fluminense.",gpt-4o-mini,2019-07
a-1561,31,a-1561,1561,2019-07-25 20:55:25+00:00,25/07/2019 20:55 UTC,Diario do Rio,diariodorio.com,Operação Segurança Presente terá efetivo dobrado pelo Governo do Estado,778,Segurança Presente terá transição entre Secretaria de Governo e Polícia Militar,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia destaca o aumento do efetivo e investimentos no programa, indicando uma ação positiva do governo.","O governador anunciou que a Operação Segurança Presente terá seu efetivo dobrado, passando de mil para 2 mil agentes.",Dobro do efetivo da Operação Segurança Presente anunciado pelo governador do Rio de Janeiro,dobro-efetivo-operacao-seguranca-presente-2019,dobro-efetivo-operacao-seguranca-presente-2019,inauguracao/expansao,Rio de Janeiro,2019-07-22,Governo do Rio anuncia aumento do efetivo da Operação Segurança Presente para 2 mil agentes.,O estado vai destinar R$ 50 milhões para as expansões que irão acontecer ainda em 2019.,gpt-4o-mini,2019-07
a-1560,857,a-1560,1560,2019-07-30 17:57:49+00:00,30/07/2019 17:57 UTC,Diario do Rio,diariodorio.com,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020,1093,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020,seguranca_presente,n/a,,alto,"A notícia não avalia diretamente o programa Segurança Presente, focando na candidatura de Pedro Fernandes.",,Apoio de Wilson Witzel à candidatura de Pedro Fernandes para prefeito do Rio em 2020,apoio-wilson-witzel-pedro-fernandes-prefeito-2020,apoio-wilson-witzel-pedro-fernandes-prefeito-2020,outro,Rio de Janeiro,2020,Wilson Witzel demonstra apoio à candidatura de Pedro Fernandes para a prefeitura do Rio em 2020.,Witzel está apostando forte no nome de Pedro Fernandes para ser seu candidato a prefeito do Rio em 2020.,gpt-4o-mini,2019-07
a-1559,774,a-1559,1559,2019-07-31 14:52:33+00:00,31/07/2019 14:52 UTC,Diario do Rio,diariodorio.com,Segurança Presente apreende mais de 50 objetos cortantes em 1 dia de operação,1012,Segurança Presente de Campos levou 38 suspeitos à delegacia na primeira semana de atuação,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A operação resultou na apreensão de objetos cortantes e na prisão de um homem, evidenciando a efetividade do programa.","Policiais militares e agentes civis recolheram 55 objetos cortantes, entre eles 36 facas, e um homem foi preso em flagrante.",Apreensão de 55 objetos cortantes e prisão em operação do Segurança Presente,apreensao-objetos-cortantes-seguranca-presente-2019,apreensao-objetos-cortantes-seguranca-presente-2019,operacao policial,Rio de Janeiro,2019-07-30,Operação do Segurança Presente apreende 55 objetos cortantes e resulta em uma prisão no Rio de Janeiro.,"Nesta terça-feira, 30/07, policiais militares e agentes civis das bases da Operação Segurança Presente recolheram 55 objetos cortantes.",gpt-4o-mini,2019-07
a-1558,856,a-1558,1558,2019-07-31 21:32:45+00:00,31/07/2019 21:32 UTC,Diario do Rio,diariodorio.com,"Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender",1092,"Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender",crime; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia apoia a ação do governador Witzel em relação à internação de usuários de drogas, considerando-a necessária e correta.","A ação de Witzel está corretíssima, não podemos permanecer abandonados à própria sorte.",Apreensão de armas brancas pela Segurança Presente e proposta de internação de usuários de drogas no Rio de Janeiro,apreensao-armas-brancas-seguranca-presente-internacao-usuarios-drogas-2019,apreensao-armas-brancas-seguranca-presente-internacao-usuarios-drogas-2019,operacao policial,Rio de Janeiro,2019-07-31,A Segurança Presente apreendeu armas brancas e discute a internação de usuários de drogas no Rio.,Segurança Presente apreendendo dezenas de armas brancas – muitas delas com moradores de rua.,gpt-4o-mini,2019-07
a-1557,855,a-1557,1557,2019-08-11 01:09:01+00:00,11/08/2019 01:09 UTC,Diario do Rio,diariodorio.com,Governo do Estado quer o controle da ordem urbana em praias e praças do Rio,1091,Governo do Estado quer o controle da ordem urbana em praias e praças do Rio,seguranca_presente,negativo,-1.0,baixo,"A notícia retrata a tentativa do governo de assumir funções da Prefeitura, evidenciando problemas com camelôs e moradores de rua.",Aumento do problema de ambulantes e moradores de rua pela cidade é mencionado.,Controle da ordem urbana em praias e praças do Rio,controle-ordem-urbana-praias-pracas-rio-2019,controle-ordem-urbana-praias-pracas-rio-2019,gestao/administracao,Rio de Janeiro,2019-08-10,Governo do Estado do Rio busca controlar a ordem urbana em praias e praças.,O projeto visa coibir a utilização irregular do espaço público por camelôs e moradores de rua.,gpt-4o-mini,2019-08
a-1030,192,a-1030,1030,2019-08-16 07:00:00+00:00,16/08/2019 07:00 UTC,Google News,novaiguacu.rj.gov.br,Inaugurada base do Segurança Presente em Nova Iguaçu - Prefeitura de Nova Iguaçu,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,A inauguração da base do Segurança Presente é vista como um avanço na segurança e expectativa positiva para a população.,O prefeito afirmou que o programa vai aumentar a sensação de segurança para a população.,Inauguração da base do Segurança Presente em Nova Iguaçu,inauguracao-base-seguranca-presente-nova-iguacu-2019,inauguracao-base-seguranca-presente-nova-iguacu-2019,inauguracao/expansao,Nova Iguaçu,2019-08-16,"Foi inaugurada a primeira base do programa Segurança Presente na Baixada Fluminense, em Nova Iguaçu.","A unidade foi instalada na Praça Rui Barbosa, no Centro da cidade, por meio de uma parceria da Prefeitura e o Governo estadual.",gpt-4o-mini,2019-08
a-1085,487,a-1085,1085,2019-09-05 07:00:00+00:00,05/09/2019 07:00 UTC,Google News,oglobo.globo.com,Laranjeiras terá Segurança Presente a partir desta sexta-feira,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",patrulhamento; programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia destaca a chegada do programa Segurança Presente em Laranjeiras como uma resposta a pedidos da comunidade, com expectativa de melhoria na segurança.","O presidente da AMAL comemorou a chegada do programa, afirmando que o bairro todo se mobilizou.",Chegada do programa Segurança Presente em Laranjeiras,chegada-seguranca-presente-laranjeiras-2019,chegada-seguranca-presente-laranjeiras-2019,inauguracao/expansao,"Laranjeiras, Rio de Janeiro",2019-09-06,O programa Segurança Presente será implementado em Laranjeiras com patrulhamento comunitário.,"O programa Segurança Presente chegará às ruas do bairro das Laranjeiras, com 69 agentes patrulhando.",gpt-4o-mini,2019-09
a-1556,854,a-1556,1556,2019-09-05 19:32:33+00:00,05/09/2019 19:32 UTC,Diario do Rio,diariodorio.com,Rodrigo Pimentel: Estado de Turismo para salvar o Rio,1090,Rodrigo Pimentel: Estado de Turismo para salvar o Rio,seguranca,negativo,-1.0,baixo,"A notícia critica a insegurança no Rio de Janeiro, mencionando assassinatos de turistas e sugerindo a necessidade de zonas de segurança máxima.",O Rio de Janeiro se tornou a cidade onde turista morre esfaqueado em áreas turísticas.,Proposta de zonas verdes para segurança de turistas no Rio de Janeiro,proposta-zonas-verdes-seguranca-turistas-rio-2019,proposta-zonas-verdes-seguranca-turistas-rio-2019,gestao/administracao,Rio de Janeiro,2019-09-05,Rodrigo Pimentel propõe zonas verdes para garantir segurança a turistas no Rio de Janeiro.,"A primeira zona verde seria toda a extensão da orla, indo do Leme ao Leblon.",gpt-4o-mini,2019-09
a-1555,852,a-1555,1555,2019-09-05 22:07:48+00:00,05/09/2019 22:07 UTC,Diario do Rio,diariodorio.com,Laranjeiras Presente começa a circular no bairro nesta sexta,1089,Laranjeiras Presente começa a circular no bairro nesta sexta,patrulhamento; programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia destaca a chegada do programa Segurança Presente ao bairro de Laranjeiras, com investimento significativo e aumento do patrulhamento.","Serão investidos R$ 8,3 milhões por ano no projeto – custo mensal de R$692 mil reais.",Inauguração do programa Segurança Presente em Laranjeiras,inauguracao-seguranca-presente-laranjeiras-2019,inauguracao-seguranca-presente-laranjeiras-2019,inauguracao/expansao,"Laranjeiras, Rio de Janeiro",2019-09-06,O programa Segurança Presente inicia operações em Laranjeiras com 69 agentes.,"O programa Segurança Presente chega ao bairro de Laranjeiras, na Zona Sul do Rio de Janeiro, nesta sexta-feira, 06/09.",gpt-4o-mini,2019-09
a-1554,851,a-1554,1554,2019-09-12 19:55:58+00:00,12/09/2019 19:55 UTC,Diario do Rio,diariodorio.com,Abrigos da Prefeitura têm vagas para apenas 15% das pessoas em situação de rua,1088,Abrigos da Prefeitura têm vagas para apenas 15% das pessoas em situação de rua,seguranca_presente,negativo,-1.0,baixo,"A notícia destaca a insuficiência de vagas em abrigos e cortes no orçamento, refletindo falhas na política pública de assistência.",O orçamento total da Secretaria Municipal de Assistência Social sofreu cortes nos últimos anos.,Insuficiência de vagas em abrigos para pessoas em situação de rua no Rio de Janeiro,insuficiencia-vagas-abrigos-situacao-rua-rio-2019,insuficiencia-vagas-abrigos-situacao-rua-rio-2019,gestao/administracao,Rio de Janeiro,2019,"A Prefeitura do Rio tem vagas para apenas 15% das pessoas em situação de rua, com cortes no orçamento da assistência social.","A Prefeitura do Rio conta com 63 abrigos, que só têm 2,3 mil vagas.",gpt-4o-mini,2019-09
a-1553,850,a-1553,1553,2019-09-19 17:37:48+00:00,19/09/2019 17:37 UTC,Diario do Rio,diariodorio.com,"Felipe Lucena: Põe a mão na cabecinha, Witzel",1087,"Felipe Lucena: Põe a mão na cabecinha, Witzel",seguranca,negativo,-1.0,baixo,"A notícia critica a política de segurança do governo Witzel, destacando a repetição de erros e a violência nas favelas.","A situação piora, pois essa rotina de tiroteios deixa a vida dos moradores ainda mais difícil.",Críticas à política de segurança de Witzel nas favelas do Rio de Janeiro,criticas-politica-seguranca-witzel-favelas-2019,criticas-politica-seguranca-witzel-favelas-2019,denuncia/irregularidade,Rio de Janeiro,2019,A política de segurança de Witzel é criticada por sua ineficácia e pela violência nas favelas.,A política de segurança do governo Wilson Witzel nas favelas do Rio de Janeiro não é muito diferente do que já é feito há décadas.,gpt-4o-mini,2019-09
a-1552,486,a-1552,1552,2019-09-20 17:15:53+00:00,20/09/2019 17:15 UTC,Diario do Rio,diariodorio.com,Segurança Presente começa em Bangu nesta sexta-feira,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia destaca a inauguração da operação, que visa promover segurança e ações sociais em Bangu.",A operação contará com 60 agentes fixos e visa promover ações de segurança pública.,Inauguração da Operação Segurança Presente em Bangu,inauguracao-operacao-seguranca-presente-bangu-2019,inauguracao-operacao-seguranca-presente-bangu-2019,inauguracao/expansao,"Bangu, Rio de Janeiro",2019-09-20,"Foi inaugurada a Operação Segurança Presente em Bangu, com 60 agentes atuando no centro comercial.","Foi inaugurada nesta sexta-feira (20/09), a Operação Segurança Presente em Bangu.",gpt-4o-mini,2019-09
a-1551,375,a-1551,1551,2019-10-05 17:04:34+00:00,05/10/2019 17:04 UTC,Diario do Rio,diariodorio.com,Botafogo ganha Segurança Presente,885,Largo da Lapa ganha base fixa 24h do Segurança Presente,operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,A notícia retrata a inauguração do programa Segurança Presente em Botafogo como um avanço na segurança da região.,A inauguração desta sexta-feira fecha um importante cinturão de segurança na cidade do Rio de Janeiro.,Inauguração do programa Segurança Presente em Botafogo,inauguracao-seguranca-presente-botafogo-2019,inauguracao-seguranca-presente-botafogo-2019,inauguracao/expansao,"Botafogo, Rio de Janeiro",2019-10-04,Botafogo recebe a operação Segurança Presente com 58 agentes para reforçar a segurança no bairro.,"A operação foi instalada nesta sexta-feira, 4/10, com uma base na Praça Nelson Mandela.",gpt-4o-mini,2019-10
a-1550,485,a-1550,1550,2019-10-25 20:20:59+00:00,25/10/2019 20:20 UTC,Diario do Rio,diariodorio.com,Segurança presente terá investimento de 200 milhões em 2020,763,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",operacao_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,O anúncio de investimento de R$ 200 milhões no programa é visto como um sinal positivo de apoio governamental.,"""É uma excelente notícia, um sinal de que o governo vê o Segurança Presente cada vez mais como Política de Estado.""",Anúncio de investimento de R$ 200 milhões no Segurança Presente em 2020,anuncio-investimento-seguranca-presente-2020,anuncio-investimento-seguranca-presente-2020,financiamento/parceria,,2020,O governo anunciou um investimento de R$ 200 milhões para o programa Segurança Presente em 2020.,"""Colocamos na Lei Orçamentária Anual (LOA) do ano que vem R$ 200 milhões para que o programa aconteça ao longo dos 12 meses.""",gpt-4o-mini,2019-10
a-1020,189,a-1020,1020,2019-10-30 07:00:00+00:00,30/10/2019 07:00 UTC,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,"A inauguração da base do Segurança Presente é vista como um avanço positivo para a segurança na região, com expectativa de redução da criminalidade.",O prefeito Rogerio Lisboa classificou o programa como uma 'experiência muito exitosa' e comemorou a redução dos índices de criminalidade no Centro.,Inauguração da segunda base do Segurança Presente em Nova Iguaçu,inauguracao-segunda-base-seguranca-presente-nova-iguacu-2019,inauguracao-segunda-base-seguranca-presente-nova-iguacu-2019,inauguracao/expansao,Nova Iguaçu,2019-10-30,"Segurança Presente inaugura sua segunda base no bairro de Austin, em Nova Iguaçu.",Uma base do programa de segurança pública do Governo do Estado foi instalada no bairro de Austin.,gpt-4o-mini,2019-10
a-1059,190,a-1059,1059,2019-10-30 07:00:00+00:00,30/10/2019 07:00 UTC,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura base em Austin - Prefeitura de Nova Iguaçu,746,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,seguranca; seguranca_presente,positivo,1.0,baixo,"A notícia retrata a inauguração de uma nova base do programa Segurança Presente, o que é um sinal positivo para a segurança na região.",A notícia destaca a inauguração de uma nova base do programa Segurança Presente.,Inauguração da base do Segurança Presente em Austin,inauguracao-base-seguranca-presente-austin-2019,inauguracao-base-seguranca-presente-austin-2019,inauguracao/expansao,"Austin, Nova Iguaçu",2019-10-30,"Segurança Presente inaugura nova base em Austin, Nova Iguaçu.",Segurança Presente inaugura base em Austin.,gpt-4o-mini,2019-10
a-1549,623,a-1549,1549,2019-10-30 14:55:48+00:00,30/10/2019 14:55 UTC,Diario do Rio,diariodorio.com,Baixada Fluminense recebe segundo ponto de operação do Segurança Presente,1086,Baixada Fluminense recebe segundo ponto de operação do Segurança Presente,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,baixo,A inauguração da segunda base do programa é um avanço na segurança da região.,"A operação chega a Austin, em Nova Iguaçu, município que já conta com os agentes instalados no Centro.","Inauguração da segunda base do Segurança Presente em Austin, Nova Iguaçu",inauguracao-segunda-base-seguranca-presente-austin-2019,inauguracao-segunda-base-seguranca-presente-austin-2019,inauguracao/expansao,"Austin, Nova Iguaçu",2019-10-30,"Segurança Presente inaugura segunda base em Austin, Baixada Fluminense.",A Programa Segurança Presente vai inaugurar sua segunda base na Baixada Fluminense nesta quarta-feira (30/10).,gpt-4o-mini,2019-10
